Assignment,Due Date,Reporting Day
CS 703 - 1.0 Business Understanding,2026-05-09,2026-05-08
CS 703 Week Ending May 9 - Status Report,2026-05-09,2026-05-08
CS 703 Week Ending May 16 - Status Report,2026-05-16,2026-05-15
CS 703 - 2.0 Data Understanding,2026-05-23,2026-05-22
CS 703 Week Ending May 23 - Status Report,2026-05-23,2026-05-22
CS 703 Week Ending May 30 - Status Report,2026-05-30,2026-05-29
CS 703 - 3.0 Data Preparation,2026-06-06,2026-06-05
CS 703 Week Ending June 6 - Status Report,2026-06-06,2026-06-05
CS 703 - Midterm Presentation,2026-06-13,2026-06-12
CS 703 Week Ending June 13 - Status Report,2026-06-13,2026-06-12
CS 703 - 4.0 Data Modeling,2026-06-20,2026-06-19
CS 703 Week Ending June 20 - Status Report,2026-06-20,2026-06-19
CS 703 Week Ending June 27 - Status Report,2026-06-27,2026-06-26
CS 703 - 5.0 Modeling Evaluation,2026-07-04,2026-07-03
CS 703 Week Ending July 4 - Status Report,2026-07-04,2026-07-03
CS 703 - 6.0 Data Deployment,2026-07-11,2026-07-10
CS 703 Week Ending July 11 - Status Report,2026-07-11,2026-07-10
CS 703 Week Ending July 18 - Status Report,2026-07-18,2026-07-17
CS 703 - Task 6.3: Final Presentation,2026-07-25,2026-07-24
CS 703 Week Ending July 25 - LAST Status Report,2026-07-25,2026-07-24
CS 703 - Task 6.3: Final Report,2026-08-01,2026-07-31
